,bias_value
neuron_1,0.010972491
neuron_2,0.01481307
neuron_3,0.015739547
neuron_4,-1.1816682e-07
neuron_5,-0.012947948
neuron_6,-3.756913e-07
neuron_7,-0.010894954
neuron_8,-4.7029545e-08
neuron_9,-6.0521477e-10
neuron_10,-1.3864454e-07
neuron_11,0.013378304
neuron_12,-0.031060714
neuron_13,-1.9095378e-11
neuron_14,-8.027981e-08
neuron_15,0.016061887
neuron_16,-0.048972536
neuron_17,0.014017819
neuron_18,-7.2081534e-06
neuron_19,-1.352238e-07
neuron_20,0.0072258883
neuron_21,0.017003013
neuron_22,0.015308093
neuron_23,0.008296918
neuron_24,0.0059283953
neuron_25,-0.026596617
neuron_26,-0.02053346
neuron_27,0.012499994
neuron_28,0.018317474
neuron_29,0.015911315
neuron_30,0.0155533645
neuron_31,0.014787207
neuron_32,-5.1246356e-08
neuron_33,-0.019140178
neuron_34,-4.8098027e-08
neuron_35,-0.019952301
neuron_36,-0.029853806
neuron_37,-0.041386183
neuron_38,0.015442026
neuron_39,-0.033881262
neuron_40,-1.169139e-05
neuron_41,0.015628655
neuron_42,-1.754153e-06
neuron_43,0.006546206
neuron_44,-5.6824106e-06
neuron_45,-0.018793615
neuron_46,-7.929108e-11
neuron_47,0.006905675
neuron_48,0.015576421
neuron_49,-9.843914e-06
neuron_50,0.015585338
neuron_51,-2.8601027e-10
neuron_52,0.015615967
neuron_53,-0.03079388
neuron_54,0.015705034
neuron_55,0.016036555
neuron_56,-4.12814e-12
neuron_57,0.0064069577
neuron_58,-1.6832759e-10
neuron_59,-0.043887652
neuron_60,0.012830369
neuron_61,0.008809841
neuron_62,-1.8049331e-08
neuron_63,-0.025035992
neuron_64,0.0069934768
